cowid," parity"," current dim"," days after breeding"," repro status"," days next breeding"," gestation length"," days dry"," test DIM"," test milk"," test fat%"," test protein%"," test scc"," 305d ME milk"," test bodyweight"," future days dry"," future gestation length"," breed"," NM$"," KeepValue"
2251,4,257,0,Open,10,-1,0,256,68.0,4.1,2.5,-1,25240,-1,60,280,HO,106,472
2256,4,172,96,Preg,10,281,0,171,58.0,4.8,3.0,-1,23211,-1,60,280,HO,127,829
2257,4,161,27,Bred,16,281,0,160,80.0,4.2,3.3,-1,29094,-1,60,280,HO,122,23
2259,4,245,173,Preg,10,283,0,244,56.0,4.1,3.0,-1,23132,-1,60,280,HO,205,1129
2261,4,173,9,Bred,13,283,0,172,88.0,4.2,3.4,-1,25669,-1,60,280,HO,-14,675
2272,3,188,113,Preg,10,281,0,187,84.0,3.4,3.1,-1,26466,-1,60,280,HO,318,543
2273,4,167,82,Preg,10,280,0,166,80.0,3.1,3.0,-1,24980,-1,60,280,HO,109,1
2277,4,166,82,Preg,10,281,0,165,116.0,3.7,2.9,-1,31253,-1,60,280,HO,-35,30
2284,4,241,166,Preg,10,281,0,240,64.0,3.0,3.1,-1,27464,-1,60,280,HO,258,307
2290,4,61,0,Open,10,-1,0,60,76.0,3.7,3.3,-1,-1,-1,60,280,HO,235,69
2291,4,211,143,Preg,10,283,0,210,80.0,4.0,3.1,-1,24833,-1,60,280,HO,170,41
2305,4,64,0,Open,10,-1,0,63,116.0,2.9,2.9,-1,24839,-1,60,280,HO,43,161
2312,4,155,11,Bred,11,281,0,154,96.0,3.4,3.2,-1,25842,-1,60,280,HO,362,256
2321,4,221,145,Preg,10,281,0,220,76.0,2.4,2.9,-1,22398,-1,60,280,HO,88,465
2322,3,302,0,Open,10,-1,0,301,76.0,4.4,3.4,-1,34402,-1,60,280,HO,239,1084
2324,4,215,145,Preg,10,283,0,214,68.0,3.6,2.9,-1,27504,-1,60,280,HO,267,757
2326,4,218,115,Preg,10,281,0,217,40.0,4.2,3.1,-1,24017,-1,60,280,HO,192,502
2327,4,191,117,Preg,10,281,0,190,56.0,4.2,3.3,-1,21551,-1,60,280,HO,272,463
2330,4,173,61,Preg,10,281,0,172,80.0,5.1,3.2,-1,28558,-1,60,280,HO,152,1148
2332,4,51,0,Open,10,-1,0,50,116.0,3.2,2.9,-1,-1,-1,60,280,HO,127,1073
2334,4,219,145,Preg,10,281,0,218,44.0,3.8,3.0,-1,18363,-1,60,280,HO,171,127
2335,4,214,138,Preg,10,281,0,213,76.0,3.3,3.2,-1,23565,-1,60,280,HO,157,798
2336,4,199,56,Preg,10,281,0,198,12.0,3.9,3.4,-1,25188,-1,60,280,HO,-79,372
2341,3,251,180,Preg,10,283,0,250,24.0,2.7,3.2,-1,17328,-1,60,280,HO,64,410
2343,4,206,131,Preg,10,281,0,205,82.0,3.0,2.8,-1,25433,-1,60,280,HO,155,123
2345,3,365,272,Preg,10,281,49,365,-1.0,-1.0,-1.0,-1,31346,-1,60,280,HO,0,913
2346,4,110,40,Bred,3,281,0,109,76.0,2.2,2.9,-1,24543,-1,60,280,HO,114,1047
2348,4,46,0,Open,10,-1,0,45,102.0,4.2,3.3,-1,-1,-1,60,280,HO,286,94
2350,4,58,0,Open,10,-1,0,57,108.0,6.3,3.2,-1,-1,-1,60,280,HO,358,415
2351,4,22,0,Open,10,-1,0,21,94.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,120,884
