Index,Lact#,DIM,DaysSBrd,DaysTilNxtHt,DaysTilDue,DaysDry,Repr,DIM_Tst,Milk,Fat%,Pro%,SCCAct,Proj305MEM,Rat,Stat,Brd,Merit$,HfrMerit$
2291,4,211,143,,140,,P,210,80,4,3.1,,24833,B,2,XX,170,
2305,4,64,,,,,,63,116,2.9,2.9,,24839,C,2,HO,43,
2312,4,155,11,11,270,,,154,96,3.4,3.2,,25842,B,2,HO,362,
2321,4,221,145,,136,,P,220,76,2.4,2.9,,22398,E,2,HO,88,
2322,3,302,,,,,C,301,76,4.4,3.4,,34402,A,2,HO,239,
2324,4,215,145,,138,,P,214,68,3.6,2.9,,27504,A,2,XX,267,
2326,4,218,115,,166,,P,217,40,4.2,3.1,,24017,C,2,HO,192,
2327,4,191,117,,164,,P,190,56,4.2,3.3,,21551,D,2,HO,272,
2330,4,173,61,,220,,P,172,80,5.1,3.2,,28558,A,2,HO,152,
2332,4,51,,,,,,50,116,3.2,2.9,,,,2,HO,127,
2334,4,219,145,,136,,P,218,44,3.8,3,,18363,E,2,HO,171,
2335,4,214,138,,143,,P,213,76,3.3,3.2,,23565,D,2,HO,157,
2336,4,199,56,,225,,P,198,12,3.9,3.4,,25188,C,2,HO,,-79
2341,3,251,180,,103,,P,250,24,2.7,3.2,,17328,E,2,XX,64,
2343,4,206,131,,150,,P,205,82,3,2.8,,25433,D,2,HO,155,
2345,3,365,272,,9,49,P,365,,,,,31346,A,1,HO,,
2346,4,110,40,3,241,,,109,76,2.2,2.9,,24543,D,2,HO,114,
2348,4,46,,,,,,45,102,4.2,3.3,,,,2,HO,286,
2350,4,58,,,,,,57,108,6.3,3.2,,,,2,HO,358,
2351,4,22,,,,,,21,94,,,,,,2,HO,120,
2355,3,357,277,,4,56,P,357,,,,,34518,A,1,HO,300,
2358,4,89,19,3,262,,,88,112,2.6,2.7,,28014,C,2,HO,215,
2361,4,156,,,,,C,155,64,5.1,3.2,,20071,B,2,XX,,95
2362,4,175,103,,180,,P,174,44,3.8,3.3,,18631,D,2,XX,,-42
2363,4,100,26,17,257,,,99,92,3.5,3,,24976,A,2,XX,,88
2373,4,175,40,3,243,,,174,76,4.2,3.3,,21885,B,2,XX,-45,
2392,4,157,82,,199,,P,156,52,4,3.2,,22519,C,2,HO,128,
2397,3,240,8,14,273,,,239,96,1.7,3.3,,30382,C,2,HO,-24,
2398,3,322,,,,,C,321,80,2.5,3.1,,27390,C,2,HO,254,
2399,4,75,5,17,276,,,74,104,3,2.8,,24436,C,2,HO,259,
2401,3,376,262,,19,56,P,376,,,,,31662,A,1,HO,343,
2410,4,136,61,,220,,P,135,76,3.2,3,,21180,D,2,HO,99,
2411,3,319,256,,25,56,P,319,,,,,27292,C,1,HO,,56
2413,4,76,5,17,276,,,75,92,2.8,2.8,,24878,C,2,HO,110,
2415,4,117,3,19,277,,,116,64,3.4,3.5,,22213,A,2,JE,194,
2426,3,289,237,,44,21,P,289,,,,,29837,A,1,HO,279,
2431,4,174,23,20,258,,,173,66.8,5,3.4,,21453,C,2,HO,162,
2433,4,151,75,,205,,P,150,60,3.4,3.8,,23942,A,2,JE,95,
2434,3,347,248,,33,28,P,347,,,,,25245,D,1,HO,146,
2437,4,40,,,,,,39,106,4.4,3.7,,,,2,XX,91,
2441,3,214,17,5,264,,,213,100,3.6,3,,32772,A,2,HO,289,
2444,4,3,,,,,,2,,,,,,,2,HO,,43
2449,3,288,215,,66,,P,287,34,4.8,3.9,,27143,B,2,HO,95,
2451,3,228,54,,227,,P,227,32,3.1,3.3,,25324,D,2,HO,158,
2459,3,258,187,,94,,P,257,52,5,3.2,,28090,B,2,HO,299,
2463,4,152,82,,199,,P,151,100,3,3,,29445,B,2,HO,,-30
2465,4,30,,,,,,29,96,,,,,,2,HO,,-70
2470,3,208,24,19,257,,,207,100,3,2.9,,30305,B,2,HO,191,
2474,3,304,185,,96,28,P,304,,,,,21418,D,1,HO,40,
2481,3,360,253,,28,35,P,360,,,,,28270,B,1,HO,78,
2482,3,375,,,,,C,374,40,3.8,2.8,,22425,D,2,HO,49,
2485,3,282,264,,17,56,P,282,,,,,24559,D,1,HO,124,
2496,3,283,185,,98,28,P,283,,,,,19248,D,1,XX,74,
2497,3,298,140,,141,,P,297,44,3.7,3.2,,25046,C,2,HO,-125,
2501,4,41,,,,,C,40,106,3.7,3.2,,,,2,HO,74,
2503,3,298,285,,-4,63,P,298,,,,,27579,C,1,HO,315,
2507,4,67,,,,,,66,110,4.1,2.5,,27629,B,2,HO,111,
2512,3,334,222,,59,,P,333,34,3.8,3.3,,26767,B,2,HO,271,
2515,3,261,166,,115,,P,260,58,3.7,2.9,,31771,A,2,HO,264,
2520,3,346,,,,,C,345,56,3.1,3.1,,31126,A,2,HO,181,
2521,4,35,,,,,,34,92,5.3,4.3,,,,2,XX,201,
2522,3,320,110,,171,,P,319,66,5,3.4,,30938,A,2,HO,201,
2525,3,276,44,20,237,,,275,68,4.2,3.2,,27286,C,2,HO,220,
2526,4,63,,,,,,62,82,4.7,3.3,,20921,D,2,HO,9,
2528,4,13,,,,,,12,92,,,,,,2,HO,150,
2530,3,352,180,,101,28,P,352,,,,,26963,C,1,HO,100,
2531,4,13,,,,,,12,88,,,,,,2,HO,128,
2536,4,106,33,10,248,,,105,86,2.6,2.9,,20705,E,2,HO,-136,
2542,3,271,57,,224,,P,270,76,3.4,3.5,,30376,B,2,HO,168,
2543,3,295,257,,24,35,P,295,,,,,32812,A,1,HO,252,
2546,3,258,251,,30,91,P,258,,,,,22256,D,1,HO,146,
2547,3,359,,,,,C,358,74,4,3.4,,32813,A,2,HO,263,
2550,3,242,78,,203,,P,241,84,3.3,3,,31526,A,2,HO,211,
