cowid," parity"," current dim"," days after breeding"," repro status"," days next breeding"," gestation length"," days dry"," test DIM"," test milk"," test fat%"," test protein%"," test scc"," 305d ME milk"," test bodyweight"," future days dry"," future gestation length"," breed"," NM$"," KeepValue"
3662,1,402,165,Preg,10,281,0,401,66.0,3.8,3.5,-1,33422,-1,60,280,HO,0,935
3663,1,402,168,Preg,10,281,0,401,66.0,4.2,3.4,-1,32250,-1,60,280,HO,240,103
3664,1,373,233,Preg,10,283,28,373,-1.0,-1.0,-1.0,-1,22314,-1,60,280,HO,157,212
3665,2,48,0,Open,10,-1,0,47,92.0,4.0,3.2,-1,-1,-1,60,280,HO,222,595
3666,2,32,0,Open,10,-1,0,31,92.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,94,745
3667,1,397,0,Open,10,-1,0,396,40.0,4.3,3.4,-1,32174,-1,60,280,HO,264,613
3669,2,44,0,Open,10,-1,0,43,92.0,5.2,3.2,-1,-1,-1,60,280,HO,212,1002
3670,1,349,266,Preg,10,281,56,349,-1.0,-1.0,-1.0,-1,27661,-1,60,280,HO,153,933
3672,2,36,0,Open,10,-1,0,35,110.0,4.2,4.0,-1,-1,-1,60,280,HO,452,478
3674,1,384,187,Preg,10,281,0,383,72.0,3.9,3.3,-1,37899,-1,60,280,HO,174,332
3675,2,28,0,Open,10,-1,0,27,96.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,219,781
3676,2,45,0,Open,10,-1,0,44,100.0,5.0,3.3,-1,-1,-1,60,280,HO,267,533
3678,1,339,262,Preg,10,281,42,339,-1.0,-1.0,-1.0,-1,30311,-1,60,280,HO,285,928
3679,2,23,0,Open,10,-1,0,22,98.0,1.4E-45,1.4E-45,-1,-1,-1,60,280,HO,237,1033
3680,1,379,0,Open,10,-1,0,378,56.0,3.4,3.4,-1,22221,-1,60,280,HO,116,864
3681,1,379,197,Preg,10,281,0,378,80.0,3.5,3.2,-1,36820,-1,60,280,HO,346,610
3682,2,35,0,Open,10,-1,0,34,94.0,4.5,4.3,-1,-1,-1,60,280,HO,145,978
3683,1,378,3,Bred,19,281,0,377,64.0,4.2,3.6,-1,29135,-1,60,280,HO,252,790
